network_combination,20140422,20140423,20140424,20140425,20140426,20140427,20140428,20140429,20140430,20140502,20140503,20140504,20140505,20140506,20140508,20140509,20140510,20140511,20140512,20140513,20140514,20140515
4:5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1:2,0.291788,0.340535,0.142161,0.586444,0.51855,0.596414,0.663166,0.437484,0.728409,0.210404,0.15229,0.277888,0.277962,0.138528,0.350334,0.447459,0.319354,1.0,0.839311,0.710689,0.432437,0.0
1:3,0.0,0.93373,0.513312,0.472485,0.0,0.0,0.447111,0.858929,1.0,0.0,0.0,0.0,0.862976,0.750683,0.0,0.0,0.0,0.426962,0.0,0.477826,0.0,0.0
1:4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.914592,1.0,0.0,0.0
1:5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2:5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2:4,0.192118,0.195,0.208556,0.143911,0.151163,0.145522,0.106849,0.177273,0.191176,0.619048,0.0,1.0,0.253247,0.364486,0.178899,0.116766,0.191176,0.119266,0.138298,0.146617,0.19898,0.0
2:3,0.0,1.0,0.361702,0.363636,0.0,0.0,0.121429,0.253731,0.293103,0.0,0.0,0.0,0.390805,0.0,0.0,0.0,0.285714,0.283333,0.0,0.384181,0.0,0.0
3:4,0.0,1.0,0.978873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3:5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
