network_combination,20140422,20140423,20140424,20140425,20140426,20140427,20140428,20140429,20140430,20140502,20140503,20140504,20140505,20140506,20140508,20140509,20140510,20140511,20140512,20140513,20140514,20140515
4:5,0.704139,0.602758,0.929125,0.931538,0.807313,0.738409,1.0,0.767823,0.808934,0.0,0.441321,0.645972,0.932701,0.72898,0.895059,0.43868,0.690378,0.703117,0.573163,0.667795,0.735644,0.350748
1:2,0.405766,0.185986,0.436774,0.498086,1.0,0.330375,0.266822,0.097271,0.679581,0.123956,0.172135,0.058101,0.203178,0.365459,0.061257,0.152905,0.475545,0.98163,0.084553,0.441079,0.093468,0.0
1:3,0.038094,0.247667,0.136078,0.190253,0.004427,0.008173,0.132933,0.381059,0.272964,0.24233,0.361951,0.352149,0.152645,0.0,0.16422,0.025069,1.0,0.005687,0.048095,0.181964,0.123332,0.185752
1:4,0.10456,0.22415,0.145521,0.0712,0.072165,0.069762,0.089762,0.065949,0.140631,0.0,0.191751,0.017497,0.0688,0.063252,0.090701,0.179416,0.229411,1.0,0.507801,0.051725,0.140984,0.00708
1:5,0.105832,0.353745,0.196356,0.027589,0.020395,0.170759,0.532779,0.29033,0.723494,0.77452,1.0,0.089347,0.285134,0.191104,0.247133,0.504077,0.344553,0.2801,0.448616,0.127159,0.587626,0.0
2:5,0.32353,0.431592,0.596631,0.63029,0.378704,0.535555,1.0,0.654425,0.606193,0.132259,0.0,0.503643,0.883956,0.719869,0.551361,0.606353,0.275209,0.57036,0.367622,0.539506,0.490558,0.700755
2:4,0.316102,0.348338,0.57847,0.623568,0.37434,0.42694,1.0,0.505083,0.484688,0.002739,0.0,0.442513,0.826468,0.619058,0.410081,0.306468,0.299425,0.899163,0.241366,0.380339,0.477301,0.345127
2:3,0.063051,0.73225,1.0,0.108897,0.006963,0.0,0.6074,0.620563,0.068711,0.177886,0.005967,0.109074,0.634517,0.33679,0.020761,0.07462,0.53408,0.166931,0.567181,0.113149,0.096234,0.246945
3:4,0.117577,0.323379,1.0,0.045493,0.022622,0.00193,0.35772,0.393156,0.015303,0.053361,0.065021,0.0,0.177478,0.0,0.006473,0.002922,0.397234,0.071191,0.761416,0.077566,0.072078,0.092854
3:5,0.128923,0.441964,1.0,0.003782,0.001407,0.001685,0.332751,0.459903,0.00568,0.356602,0.079589,0.004671,0.163511,0.001041,0.0,0.001539,0.384193,0.069779,0.748055,0.077991,0.079781,0.194682
