network_combination,20140422,20140423,20140424,20140425,20140426,20140427,20140428,20140429,20140430,20140502,20140503,20140504,20140505,20140506,20140508,20140509,20140510,20140511,20140512,20140513,20140514,20140515
4:5,0.972552,0.891923,1.0,0.962119,0.884807,0.656719,0.788739,0.318352,0.397556,0.0,0.241141,0.096364,0.342122,0.474663,0.416576,0.538855,0.331057,0.500391,0.500654,0.497055,0.500637,0.140477
1:2,0.576243,0.529524,0.377491,0.858073,0.528154,0.736278,1.0,0.590426,0.680486,0.203676,0.239625,0.240565,0.372051,0.240264,0.441313,0.591744,0.466493,0.949889,0.798908,0.695058,0.385306,0.0
1:3,0.0,0.496973,0.56535,1.0,0.448691,0.082358,0.844038,0.913591,0.77178,0.002026,0.451605,0.314256,0.917329,0.217309,0.139106,0.124326,0.533663,0.2587,0.452337,0.822188,0.431136,0.571555
1:4,0.695049,0.834859,0.723853,1.0,0.831206,0.74139,0.767126,0.360842,0.633775,0.0,0.362279,0.190689,0.403179,0.348881,0.376368,0.54961,0.468858,0.535675,0.57384,0.585419,0.506507,0.219881
1:5,0.232043,0.401666,0.456563,0.354202,0.449558,0.752746,0.735889,0.775091,0.325349,0.043992,0.661258,0.033572,0.604626,0.0,0.465409,0.747958,1.0,0.701721,0.745755,0.630962,0.455633,0.011749
2:5,0.484937,0.361371,0.159546,0.76396,0.586256,0.673304,1.0,0.552399,0.528274,0.258062,0.240421,0.138371,0.322463,0.14322,0.425062,0.80695,0.522145,0.979314,0.676676,0.628082,0.245851,0.0
2:4,0.48807,0.31043,0.259342,0.496289,0.30491,0.275517,0.696987,0.299928,0.30404,0.198119,0.134287,0.86603,0.303928,0.0,0.107246,0.421198,0.442044,1.0,0.407063,0.296331,0.213398,0.406397
2:3,0.155556,0.7,0.184431,0.582965,0.116226,0.0,0.528431,0.509091,0.450732,0.676923,0.188957,0.48125,1.0,0.952577,0.149515,0.168306,0.888462,0.820118,0.641667,0.496774,0.344134,0.522034
3:4,0.178451,0.295539,0.186128,0.198502,0.18662,0.145604,0.297335,0.917749,0.341385,1.0,0.588889,0.0,0.574007,0.0,0.183391,0.165625,0.695082,0.315007,0.557895,0.397004,0.201521,0.527363
3:5,0.512947,0.513265,0.89723,0.34556,0.416821,0.641056,0.934764,0.785628,0.5214,0.225559,0.614702,0.0,0.724107,0.235669,0.250459,0.518816,1.0,0.411314,0.662362,0.327921,0.643605,0.488237
